搭档数据简表 (移动版),,,,,,,,,,,,
本表显示了移动版下各个搭档在1级、20级、30级（如果有觉醒形态）时的Frag、Step、Over数值。,,,,,,,,,,,,
,,,,,,,,,,,,
如果需要查看搭档各级的详细数值，请前往对应搭档单页查看。,,,,,,,,,,,,
,,,,,,,,,,,,
#,搭档名称,类型,Lv.1,,,Lv.20,,,Lv.30,,,技能
,,,Frag,Step,Over,Frag,Step,Over,Frag,Step,Over,
0,光,支援型,55,35,35,78,61,61,88,71,71,简单 - 音符流失后的回忆率丢失程度减小
1,对立,平衡型,55,55,55,80,80,80,90,90,90,-
2,红,平衡型,60,47,25,90,70,47,100,80,57,-
,,,,,,,,,,,,
,,,,,,,,,,,,（觉醒）以歌曲结算成绩为基准值获得最高 +20% 的残片奖励
3,萨菲亚,平衡型,50,50,50,75,75,75,-,-,-,-
4,忘却,平衡型,47,60,47,70,90,70,80,100,80,镜像 - 所有的音符与音弧反转
,,,,,,,,,,,,
,,,,,,,,,,,,（觉醒）视觉 - 探索遗缺的感知
5,光 & 对立（Reunion）,平衡型,-,-,-,79,70,70,89,80,80,纷争 - 逆转光芒与纷争的规则
,,,,,,,,,,,,
,,,,,,,,,,,,（觉醒）光芒 - 改写光芒与纷争的规则
6,对立（Axium）,平衡型,47,60,72,70,90,95,-,-,-,-
7,对立（Grievous Lady）,挑战型,57,70,57,79,102,79,-,-,-,困难 - 回忆率归零后直接判定为乐曲失败
8,星,平衡型,41,58,41,65,84,65,-,-,-,在游玩?Stellights?的歌曲时得到 10 额外残片
9,光 & 菲希卡,支援型,22,45,7,40,78,31,-,-,-,简单 + 在游玩 Past / Present 的歌曲时得到 15 额外残片
10,依莉丝,挑战型,50,70,10,50,105,50,50,110,50,困难 + 在 Track Lost 时丢失100残片
,,,,,,,,,,,,
,,,,,,,,,,,,（觉醒）困难 + 流失判定时有 6% 概率丢失 6 倍回忆率 曲目通关时获得 +6 步数加成
11,爱托,平衡型,54,45,32,80,67,59,90,77,69,在游玩“光芒”之侧的歌曲时得到5额外残片
,,,,,,,,,,,,
,,,,,,,,,,,,（觉醒）获得残片奖励时世界进度额外前进7
12,露娜,平衡型,60,42,65,90,63,90,100,73,100,视觉 - 隐藏回忆收集率条
,,,,,,,,,,,,
,,,,,,,,,,,,（觉醒）在歌曲限制格上游玩歌曲时世界进度额外前进7
13,调,平衡型,56,46,31,82,68,58,92,78,68,在游玩“纷争”之侧的歌曲时得到5额外残片
,,,,,,,,,,,,
,,,,,,,,,,,,（觉醒）在游玩歌曲时先支付等同于歌曲难度值的残片 获得“EX”或更高成绩时额外奖励10残片
14,光（Zero）,挑战型,78,61,61,0,0,0,-,-,-,流失音符时回忆率归零
15,光（Fracture）,???/创世型,42,67,53,61,99,78,-,-,-,溢出 - “简单”模式回忆率，但当回忆率到达100%后转变为“困难”
16,光（夏日）,支援型,41,49,31,67,80,50,-,-,-,简单 + 所有的音符与音弧反转
17,对立（夏日）,平衡型,61,44,47,92,66,70,-,-,-,镜像 - 所有的音符与音弧反转
18,对立 & 托凛,平衡型,52,28,38,85,46,62,-,-,-,视觉 - 在游玩Tone Sphere曲目时，显示“营养丰富”类的音符
19,彩梦,平衡型,50,45,12,50,83,49,50,93,59,歌曲游玩结束时奖励随机数量的残片
,,,,,,,,,,,,
,,,,,,,,,,,,（觉醒）世界进度在+5和-5之间随机增减
20,爱托 & 露娜（冬日）,支援型,52,24,39,86,40,64,-,-,-,简单 + 回忆率收集条的初始数值变为30% 减少命中音符所获得的回忆率
21,柚梅,平衡型,32,46,18,52,73,46,62,83,56,每达成100连击时，最终残片奖励增加1
,,,,,,,,,,,,
,,,,,,,,,,,,（觉醒）以最高连击数为基准值获得最高 +10 残片 在通关时获得 +5 残片
22,光 & 赛依娜,平衡型,42,52,48,65,80,73,-,-,-,音频 - 游玩Groove Coaster的曲目时，打击地面轨道会触发“即兴演奏”效果。
23,咲弥,平衡型,55,59,65,85,90,95,95,100,105,增加击中音符后回忆率的变化。但判定为模糊（Far）时不会获取任何回忆率。
,,,,,,,,,,,,
,,,,,,,,,,,,（觉醒）显示判定详情
24,对立 & 中二企鹅（Grievous Lady）,平衡型,45,62,45,67,93,67,-,-,-,CHUNITHM - 通关需求: 7
25,中二企鹅,平衡型,58,33,55,88,50,84,-,-,-,纯粹回忆（满分）通关时额外获取 14 残片
26,榛名,平衡型,43,58,44,64,86,70,74,96,80,回忆率收集条的初始数值变为40% 回忆率增长倍数减少至40%
